Site;Annee;nom_protocole;groupe_taxonomique;espece;effectifs
WWF;2019;Transect arthropodes P1;Coléoptères;Ophonus;1
FRANK;2017;Plaques;Isopoda;Oniscus asellus;1
WWF;2018;Transect arthropode Session 1;Isopoda;Oniscus asellus;1
WWF;2018;Transect arthropode Session 1;Hymenoptera;Omalus biaccinctus;1
GUER;2019;Transect arthropodes P1;Hyménoptères;Omalus biaccinctus;1
PULMA;2019;Transect arthropodes P2;Hyménoptères;Omalus biaccinctus;1
SEINE;2019;Transect arthropodes P2;Hyménoptères;Omalus;1
BOUCHA;2019;Transect arthropodes P1;Opiliones;Oligolophus tridens;1
CD93;2019;Transect arthropodes P1;Opiliones;Oligolophus tridens;1
OLSER;2017;Transect arthropode Session 1;Coleoptera;Olibrus;1
ALBAR;2017;Transect arthropode Session 1;Coleoptera;Olibrus;1
PROMA;2017;Transect arthropode Session 1;Coleoptera;Olibrus;1
AMROU;2017;Transect arthropode Session 1;Coleoptera;Olibrus;1
CIROB;2017;Transect arthropode Session 1;Coleoptera;Olibrus;1
CIROB;2017;Transect arthropode Session 2;Coleoptera;Olibrus;1
PROMA;2017;Transect arthropode Session 2;Coleoptera;Olibrus;1
CHAVIN;2017;Transect arthropode Session 2;Coleoptera;Olibrus;1
GTMBA;2017;Transect arthropode Session 2;Coleoptera;Olibrus;1
ROROL;2018;Transect arthropode Session 1;Coleoptera;Olibrus;1
CARON;2018;Transect arthropode Session 1;Coleoptera;Olibrus;1
PROMA;2018;Transect arthropode Session 1;Coleoptera;Olibrus;1
GTMBA;2018;Transect arthropode Session 1;Coleoptera;Olibrus;1
CIROB;2018;Transect arthropode Session 1;Coleoptera;Olibrus;1
BOUTOU;2018;Transect arthropode Session 2;Coleoptera;Olibrus;1
CHAVIN;2018;Transect arthropode Session 2;Coleoptera;Olibrus;1
CIROB;2018;Transect arthropode Session 2;Coleoptera;Olibrus;1
GRENEL;2018;Transect arthropode Session 2;Coleoptera;Olibrus;1
MECHO;2018;Transect arthropode Session 2;Coleoptera;Olibrus;1
CHAVIN;2019;Transect arthropodes P1;Coléoptères;Olibrus;1
ECOBIO_BOIS;2019;Transect arthropodes P1;Coléoptères;Olibrus;1
SEINE;2019;Transect arthropodes P1;Coléoptères;Olibrus;1
EIDER;2019;Transect arthropodes P2;Coléoptères;Olibrus;1
GTMBA;2019;Transect arthropodes P2;Coléoptères;Olibrus;1
PROMA;2019;Transect arthropodes P2;Coléoptères;Olibrus;1
MUENT;2017;Transect arthropode Session 2;Orthoptera;Oedipoda caerulescens;1
SEINE;2018;Transect arthropode Session 1;Coleoptera;Oedemera podagrariae;1
OLSER;2017;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
GOOPL;2017;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
GTMBA;2017;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
CIMOD;2018;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
MECHO;2018;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
SEINE;2018;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
WWF;2018;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
FRANK;2018;Transect arthropode Session 1;Coleoptera;Oedemera nobilis;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Coléoptères;Oedemera nobilis;1
CIROB;2019;Transect arthropodes P2;Coléoptères;Oedemera nobilis;1
SEINE;2019;Transect arthropodes P2;Coléoptères;Oedemera nobilis;1
BOUTOU;2018;Transect arthropode Session 1;Coleoptera;Oedemera lurida;1
GOOPL;2018;Transect arthropode Session 1;Coleoptera;Oedemera lurida;1
BOUTOU;2019;Transect arthropodes P1;Coléoptères;Oedemera lurida;1
GRENEL;2019;Transect arthropodes P1;Coléoptères;Oedemera lurida;1
MECHO;2019;Transect arthropodes P1;Coléoptères;Oedemera lurida;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Coléoptères;Oedemera lurida;1
GTMBA;2019;Transect arthropodes P2;Coléoptères;Oedemera lurida;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Coléoptères;Oedemera lurida;1
SEINE;2019;Transect arthropodes P2;Coléoptères;Oedemera lurida;1
GRENEL;2018;Transect arthropode Session 1;Coleoptera;Oedemera flavipes;1
CHAVIN;2017;Transect arthropode Session 1;Coleoptera;Oedemera;1
ALBAR;2019;Transect arthropodes P2;Orthoptères;Oecanthus pellucens;1
FRANK;2017;Transect arthropode Session 2;Heteroptera;Odontoscelis fuliginosa;1
CD93;2018;Transect arthropode Session 1;Arachnida;Odiellus spinosus;1
FONTA;2018;Transect arthropode Session 2;Arachnida;Odiellus spinosus;1
CD93;2018;Transect arthropode Session 2;Arachnida;Odiellus spinosus;1
SEINE;2019;Transect arthropodes P1;Coléoptères;Odemera lurida;1
OLSER;2017;Transect arthropode Session 1;Coleoptera;Ocypus aethiops;1
WWF;2018;Transect arthropode Session 1;Coleoptera;Ocypus aethiops;1
WWF;2017;Transect arthropode Session 1;Lepidoptera;Ochlodes sylvanus;1
PULMA;2019;Transect arthropodes P1;Hétéroptères;Nysius thymi;1
CIROB;2017;Transect arthropode Session 1;Heteroptera;Nysius senecionis;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Nysius senecionis;1
FRANK;2017;Transect arthropode Session 2;Heteroptera;Nysius senecionis;1
BOUCHA;2019;Transect arthropodes P1;Hétéroptères;Nysius senecionis;1
PAREX;2017;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
ROROL;2017;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
CIMOD;2017;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
RUWAT;2018;Transect arthropode Session 1;Heteroptera;Nysius immunis;1
SIBUET;2018;Transect arthropode Session 1;Heteroptera;Nysius immunis;1
FRANK;2018;Transect arthropode Session 1;Heteroptera;Nysius immunis;1
FONTA;2018;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
PERIS;2018;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
RUWAT;2018;Transect arthropode Session 2;Heteroptera;Nysius immunis;1
CD93;2019;Transect arthropodes P1;Hétéroptères;Nysius immunis;1
GUER;2019;Transect arthropodes P1;Hétéroptères;Nysius immunis;1
LUAUB;2019;Transect arthropodes P1;Hétéroptères;Nysius immunis;1
ROROLL;2019;Transect arthropodes P1;Hétéroptères;Nysius immunis;1
BOUCHA;2019;Transect arthropodes P2;Hétéroptères;Nysius immunis;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Nysius helveticus;1
BOUCHA;2017;Transect arthropode Session 2;Heteroptera;Nysius helveticus;1
PULMA;2017;Transect arthropode Session 2;Heteroptera;Nysius helveticus;1
OLSER;2017;Transect arthropode Session 1;Heteroptera;Nysius graminicola;1
PROMA;2017;Transect arthropode Session 1;Heteroptera;Nysius graminicola;1
ANTHEU;2017;Transect arthropode Session 2;Heteroptera;Nysius graminicola;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P2;Hétéroptères;Nysius graminicola;1
FRANK;2019;Transect arthropodes P2;Hétéroptères;Nysius graminicola;1
SIBUET;2019;Transect arthropodes P1;Hétéroptères;Nysius ericae;1
CARON;2019;Transect arthropodes P2;Hétéroptères;Nysius ericae;1
GTMBA;2019;Transect arthropodes P2;Hétéroptères;Nysius ;1
ANTHEU;2017;Transect arthropode Session 2;Heteroptera;Nysius;1
AMROU;2017;Transect arthropode Session 2;Heteroptera;Nysius;1
CARON;2018;Transect arthropode Session 1;Heteroptera;Nysius;1
FONTA;2018;Transect arthropode Session 1;Heteroptera;Nysius;1
GTMBA;2018;Transect arthropode Session 1;Heteroptera;Nysius;1
ROROL;2018;Transect arthropode Session 2;Heteroptera;Nysius;1
BOUTOU;2018;Transect arthropode Session 2;Heteroptera;Nysius;1
CIMOD;2018;Transect arthropode Session 2;Heteroptera;Nysius;1
ANTHEU;2018;Transect arthropode Session 2;Heteroptera;Nysius;1
GTMBA;2019;Transect arthropodes P1;Hétéroptères;Nysius;1
GUER;2019;Transect arthropodes P1;Hétéroptères;Nysius;1
ALBAR;2019;Transect arthropodes P2;Hétéroptères;Nysius;1
PULMA;2019;Transect arthropodes P2;Hétéroptères;Nysius;1
GRENEL;2018;Transect arthropode Session 1;Heteroptera;Notostira;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 1;Coleoptera;Notiophilus;1
FONTA;2018;Transect arthropode Session 2;Coleoptera;Notiophilus;1
GOOPL;2018;Transect arthropode Session 1;Hymenoptera;Nomada zonata;1
AMROU;2018;Transect arthropode Session 1;Hymenoptera;Nomada flavoguttata;1
PULMA;2018;Transect arthropode Session 1;Hymenoptera;Nomada flavoguttata;1
PULMA;2019;Transect arthropodes P2;Hyménoptères;Nomada ;1
CARON;2019;Transect arthropodes P2;Araneae;Nigma puella;1
SEINE;2019;Transect arthropodes P1;Hétéroptères;Nezera viridula;1
OLSER;2019;Transect arthropodes P2;Hétéroptères;Nezera viridula;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Heteroptera;Nezara viridula;1
CIROB;2018;Transect arthropode Session 1;Heteroptera;Nezara viridula;1
FRANK;2018;Transect arthropode Session 1;Heteroptera;Nezara viridula;1
OLSER;2018;Transect arthropode Session 1;Heteroptera;Nezara viridula;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Heteroptera;Nezara viridula;1
MECHO;2018;Transect arthropode Session 2;Heteroptera;Nezara viridula;1
GOOPL;2019;Transect arthropodes P1;Araneae;Neriene radiata;1
CHAVIN;2017;Transect arthropode Session 2;Arachnida;Neriene emphana ;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Diptères;Nephrotoma submaculosa;1
CD93;2019;Transect arthropodes P1;Diptères;Nephrotoma flavescens ;1
OLSER;2017;Transect arthropode Session 1;Diptera;Nephrotoma flavescens;1
CIROB;2019;Transect arthropodes P1;Diptères;Nephrotoma;1
ECOBIO_PRAIRIE;2017;Transect arthropode Session 1;Arachnida;Neottiura bimaculata;1
ALBAR;2017;Transect arthropode Session 1;Arachnida;Neottiura bimaculata;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Arachnida;Neottiura bimaculata;1
BOUTOU;2018;Transect arthropode Session 2;Arachnida;Neottiura bimaculata;1
OLSER;2018;Transect arthropode Session 2;Arachnida;Neottiura bimaculata;1
ALBAR;2019;Transect arthropodes P1;Araneae;Neottiura bimaculata;1
ROROL;2019;Transect arthropodes P2;Hétéroptères;Neottiglossa leporina;1
CHAVIN;2019;Transect arthropodes P1;Homoptères;Neoaliturus fenestratus;1
FRANK;2019;Transect arthropodes P1;Homoptères;Neoaliturus fenestratus;1
PROMA;2017;Transect arthropode Session 2;Heteroptera;Nabis punctatus;1
AMROU;2017;Transect arthropode Session 1;Heteroptera;Nabis pseudoferus pseudoferus;1
FRANK;2018;Transect arthropode Session 1;Heteroptera;Nabis pseudoferus ibericus;1
BOUTOU;2018;Transect arthropode Session 2;Heteroptera;Nabis pseudoferus ibericus;1
CHAVIN;2017;Transect arthropode Session 2;Heteroptera;Nabis pseudoferus;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 1;Heteroptera;Nabis pseudoferus;1
ALBAR;2019;Transect arthropodes P1;Hétéroptères;Nabis pseudoferus;1
CIROB;2019;Transect arthropodes P2;Hétéroptères;Nabis pseudoferus;1
GTMBA;2017;Transect arthropode Session 2;Heteroptera;Nabis ferus;1
SIBUET;2018;Transect arthropode Session 1;Heteroptera;Nabis ericetorum;1
CIMOD;2017;Transect arthropode Session 1;Heteroptera;Nabis;1
ECOBIO_PRAIRIE;2017;Transect arthropode Session 1;Heteroptera;Nabis;1
PAREX;2017;Transect arthropode Session 2;Heteroptera;Nabis;1
FRANK;2017;Transect arthropode Session 2;Heteroptera;Nabis;1
ALBAR;2017;Transect arthropode Session 2;Heteroptera;Nabis;1
SIBUET;2017;Transect arthropode Session 2;Heteroptera;Nabis;1
CIMOD;2018;Transect arthropode Session 1;Heteroptera;Nabis;1
PROMA;2018;Transect arthropode Session 1;Heteroptera;Nabis;1
GTMBA;2018;Transect arthropode Session 1;Heteroptera;Nabis;1
CIROB;2018;Transect arthropode Session 1;Heteroptera;Nabis;1
GRENEL;2018;Transect arthropode Session 1;Heteroptera;Nabis;1
GTMBA;2018;Transect arthropode Session 2;Heteroptera;Nabis;1
SEINE;2018;Transect arthropode Session 2;Heteroptera;Nabis;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Heteroptera;Nabis;1
MECHO;2018;Transect arthropode Session 2;Heteroptera;Nabis;1
OLSER;2019;Transect arthropodes P1;Hétéroptères;Nabis;1
ALBAR;2019;Transect arthropodes P2;Hétéroptères;Nabis;1
SEINE;2019;Transect arthropodes P2;Hétéroptères;Nabis;1
GOOPL;2017;Transect arthropode Session 2;Hymenoptera;Myrmica vandeli;1
WWF;2017;Transect arthropode Session 2;Hymenoptera;Myrmica vandeli;1
WWF;2018;Transect arthropode Session 2;Hymenoptera;Myrmica vandeli;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 1;Hymenoptera;Myrmica specioides;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Hymenoptera;Myrmica schencki;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
BOUTOU;2017;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
PULMA;2017;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
CHAVIN;2017;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
CARON;2018;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
PROMA;2018;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
ECOBIO_BOIS;2018;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
PERIS;2018;Transect arthropode Session 1;Hymenoptera;Myrmica scabrinodis;1
ECOBIO_BOIS;2018;Transect arthropode Session 2;Hymenoptera;Myrmica scabrinodis;1
PERIS;2018;Transect arthropode Session 2;Hymenoptera;Myrmica scabrinodis;1
FAUTEM;2019;Transect arthropodes P1;Hyménoptères;Myrmica scabrinodis;1
FRANK;2019;Transect arthropodes P2;Hyménoptères;Myrmica;1
BOUHOP;2017;Transect arthropode Session 2;Mollusca;Morlina glabra;1
ANTHEU;2018;Transect arthropode Session 1;Arachnida;Monocephalus fuscipes;1
GOOPL;2017;Transect arthropode Session 1;Mollusca;Monacha;1
GTMBA;2017;Transect arthropode Session 1;Mollusca;Monacha;1
CIROB;2017;Transect arthropode Session 2;Arachnida;Misumena vatia;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 2;Arachnida;Misumena vatia;1
GOOPL;2017;Transect arthropode Session 2;Arachnida;Misumena vatia;1
GTMBA;2017;Transect arthropode Session 2;Arachnida;Misumena vatia;1
RUWAT;2018;Transect arthropode Session 1;Arachnida;Misumena vatia;1
WWF;2018;Transect arthropode Session 1;Arachnida;Misumena vatia;1
FAUTEM;2018;Transect arthropode Session 2;Arachnida;Misumena vatia;1
RUWAT;2018;Transect arthropode Session 2;Arachnida;Misumena vatia;1
GOOPL;2018;Transect arthropode Session 2;Arachnida;Misumena vatia;1
MOZIN_SANS_GESTION;2018;Transect arthropode Session 2;Arachnida;Misumena vatia;1
MOZIN_AVEC_GESTION;2019;Transect arthropodes P2;Arachnides;Misumena vatia;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P1;Diptères;Minettia;1
KELLER;2019;Transect arthropodes P1;Diptères;Minettia;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Diptères;Minettia;1
OLSER;2019;Transect arthropodes P1;Diptères;Minettia;1
FAUTEM;2019;Transect arthropodes P2;Diptères;Minettia;1
GTMBA;2019;Transect arthropodes P2;Diptères;Minettia;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Diptères;Minettia;1
RUWAT;2017;Transect arthropode Session 1;Coleoptera;Microlestes minutulus;1
GTMBA;2017;Transect arthropode Session 1;Coleoptera;Microlestes minutulus;1
MUENT;2019;Transect arthropodes P1;Coléoptères;Microlestes ;1
MECHO;2017;Transect arthropode Session 1;Coleoptera;Microlestes;1
ROROLL;2019;Transect arthropodes P1;Coléoptères;Microlestes;1
ALBAR;2018;Transect arthropode Session 2;Heteroptera;Metopoplax ditomoides;1
CHAVIN;2019;Transect arthropodes P1;Hétéroptères;Metopoplax ditomoides;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Diptera;Meromyza;1
BOUTOU;2017;Transect arthropode Session 1;Diptera;Meromyza;1
FRANK;2017;Transect arthropode Session 2;Diptera;Meromyza;1
CHAVIN;2017;Transect arthropode Session 2;Diptera;Meromyza;1
GTMBA;2018;Transect arthropode Session 1;Diptera;Meromyza;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 1;Diptera;Meromyza;1
CIROB;2018;Transect arthropode Session 1;Diptera;Meromyza;1
PULMA;2018;Transect arthropode Session 1;Diptera;Meromyza;1
EIDER;2018;Transect arthropode Session 2;Diptera;Meromyza;1
BOUTOU;2018;Transect arthropode Session 2;Diptera;Meromyza;1
CARON;2018;Transect arthropode Session 2;Diptera;Meromyza;1
SEINE;2018;Transect arthropode Session 2;Diptera;Meromyza;1
CARON;2019;Transect arthropodes P1;Diptères;Meromyza;1
CHAVIN;2019;Transect arthropodes P1;Diptères;Meromyza;1
BOUTOU;2019;Transect arthropodes P2;Diptères;Meromyza;1
CIROB;2019;Transect arthropodes P2;Diptères;Meromyza;1
LUAUB;2019;Transect arthropodes P2;Diptères;Meromyza;1
MECHO;2019;Transect arthropodes P2;Diptères;Meromyza;1
PROMA;2019;Transect arthropodes P2;Diptères;Meromyza;1
FAUTEM;2017;Transect arthropode Session 1;Coleoptera;Meligethes aeneus;1
FAUTEM;2019;Transect arthropodes P1;Coléoptères;Meligethes ;1
EIDER;2019;Transect arthropodes P2;Coléoptères;Meligethes ;1
GTMBA;2019;Transect arthropodes P2;Coléoptères;Meligethes ;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Coléoptères;Meligethes ;1
FAUTEM;2017;Transect arthropode Session 1;Coleoptera;Meligethes;1
CIROB;2017;Transect arthropode Session 1;Coleoptera;Meligethes;1
CHAVIN;2017;Transect arthropode Session 1;Coleoptera;Meligethes;1
SEINE;2018;Transect arthropode Session 1;Diptera;Melanostoma mellinum;1
CIROB;2018;Transect arthropode Session 1;Diptera;Melanostoma mellinum;1
FRANK;2018;Transect arthropode Session 1;Diptera;Melanostoma mellinum;1
PULMA;2018;Transect arthropode Session 1;Diptera;Melanostoma mellinum;1
GRENEL;2018;Transect arthropode Session 1;Diptera;Melanostoma mellinum;1
SEINE;2019;Transect arthropodes P2;Diptères;Melanostoma mellinum;1
GOOPL;2017;Transect arthropode Session 1;Homoptera;Megophthalmus;1
RUWAT;2017;Transect arthropode Session 1;Heteroptera;Megalonotus sabulicola;1
PULMA;2017;Transect arthropode Session 1;Heteroptera;Megalonotus sabulicola;1
ROROL;2017;Transect arthropode Session 2;Heteroptera;Megalonotus sabulicola;1
SIBUET;2018;Plaques;Heteroptera;Megalonotus sabulicola;1
AMROU;2018;Transect arthropode Session 2;Heteroptera;Megalonotus sabulicola;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 2;Heteroptera;Megalonotus sabulicola;1
GTMBA;2017;Transect arthropode Session 1;Heteroptera;Megalonotus praetextatus;1
PULMA;2017;Transect arthropode Session 1;Heteroptera;Megalonotus praetextatus;1
WWF;2018;Transect arthropode Session 1;Heteroptera;Megalonotus praetextatus;1
PROMA;2018;Transect arthropode Session 2;Heteroptera;Megalonotus praetextatus;1
SEINE;2019;Transect arthropodes P2;Hétéroptères;Megalonotus praetextatus;1
GOOPL;2018;Transect arthropode Session 2;Heteroptera;Megalonotus emarginatus;1
BOUTOU;2019;Transect arthropodes P1;Hétéroptères;Megalonotus emarginatus;1
CHAVIN;2019;Transect arthropodes P1;Hétéroptères;Megalonotus emarginatus;1
OLSER;2019;Transect arthropodes P1;Hétéroptères;Megalonotus emarginatus;1
FRANK;2019;Transect arthropodes P2;Hétéroptères;Megalonotus ;1
KELLER;2019;Transect arthropodes P2;Hétéroptères;Megalonotus;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Heteroptera;Megaloceroea recticornis;1
LUAUB;2019;Transect arthropodes P2;Hétéroptères;Megaloceroea recticornis;1
CIMOD;2018;Transect arthropode Session 1;Hymenoptera;Megachile willughbiella;1
GTMBA;2017;Transect arthropode Session 1;Hymenoptera;Megachile pilidens;1
MECHO;2019;Transect arthropodes P2;Hyménoptères;Megachile ;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 1;Hymenoptera;Megachile;1
PROMA;2017;Transect arthropode Session 1;Arachnida;Mangora acalypha;1
FAUTEM;2017;Transect arthropode Session 1;Arachnida;Mangora acalypha;1
CIROB;2017;Transect arthropode Session 1;Arachnida;Mangora acalypha;1
GTMBA;2017;Transect arthropode Session 1;Arachnida;Mangora acalypha;1
PROMA;2017;Transect arthropode Session 2;Arachnida;Mangora acalypha;1
WWF;2017;Transect arthropode Session 2;Arachnida;Mangora acalypha;1
PROMA;2018;Transect arthropode Session 1;Arachnida;Mangora acalypha;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Arachnida;Mangora acalypha;1
GOOPL;2018;Transect arthropode Session 2;Arachnida;Mangora acalypha;1
MECHO;2018;Transect arthropode Session 2;Arachnida;Mangora acalypha;1
BOUCHA;2019;Transect arthropodes P1;Araneae;Mangora acalypha;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P1;Araneae;Mangora acalypha;1
EIDER;2019;Transect arthropodes P1;Araneae;Mangora acalypha;1
OLSER;2019;Transect arthropodes P1;Araneae;Mangora acalypha;1
WWF;2019;Transect arthropodes P1;Araneae;Mangora acalypha;1
CIROB;2019;Transect arthropodes P2;Araneae;Mangora acalypha;1
GTMBA;2019;Transect arthropodes P2;Araneae;Mangora acalypha;1
KELLER;2019;Transect arthropodes P2;Araneae;Mangora acalypha;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Araneae;Mangora acalypha;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P1;Coléoptères;Malthinus scriptus;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 1;Lepidoptera;Macroglossum stellatarum;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 2;Lepidoptera;Macroglossum stellatarum;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Lygus pratensis;1
CIROB;2017;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
PROMA;2017;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
CHAVIN;2017;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
MOZIN_SANS_GESTION;2017;Plaques;Heteroptera;Lygus pratensis;1
GTMBA;2017;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
GTMBA;2018;Transect arthropode Session 1;Heteroptera;Lygus pratensis;1
ROROL;2018;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
GOOPL;2018;Transect arthropode Session 2;Heteroptera;Lygus pratensis;1
FRANK;2019;Transect arthropodes P1;Hétéroptères;Lygus pratensis;1
EIDER;2019;Transect arthropodes P2;Hétéroptères;Lygus pratensis;1
MOZIN_AVEC_GESTION;2018;Transect arthropode Session 1;Heteroptera;Lygus gemellatus;1
SEINE;2019;Transect arthropodes P2;Hétéroptères;Lygus gemellatus;1
CIMOD;2018;Transect arthropode Session 1;Heteroptera;Lygus;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Hétéroptères;Lygus;1
GTMBA;2017;Transect arthropode Session 1;Coleoptera;Longitarsus;1
MECHO;2019;Transect arthropodes P1;Coléoptères;Longitarsus;1
ECOBIO_BOIS;2019;Transect arthropodes P2;Coléoptères;Longitarsus;1
GTMBA WILD;2019;Transect arthropodes P2;Coléoptères;Longitarsus;1
GUER;2019;Transect arthropodes P1;Chilopodes;Lithobius tricuspis;1
MUENT;2019;Transect arthropodes P1;Chilopodes;Lithobius macilentus;1
OLSER;2019;Transect arthropodes P1;Chilopodes;Lithobius ;1
FRANK;2017;Plaques;Chilopoda;Lithobius;1
PROMA;2017;Transect arthropode Session 2;Chilopoda;Lithobius;1
PROMA;2017;Plaques;Chilopoda;Lithobius;1
ECOBIO_BOIS;2017;Plaques;Chilopoda;Lithobius;1
EIDER;2017;Plaques;Chilopoda;Lithobius;1
FAUTEM;2017;Transect arthropode Session 2;Chilopoda;Lithobius;1
FAUTEM;2017;Plaques;Chilopoda;Lithobius;1
OLSER;2017;Transect arthropode Session 2;Chilopoda;Lithobius;1
BOUCHA;2017;Plaques;Chilopoda;Lithobius;1
RUWAT;2017;Transect arthropode Session 2;Chilopoda;Lithobius;1
BOUTOU;2018;Transect arthropode Session 1;Chilopoda;Lithobius;1
BOUCHA;2018;Transect arthropode Session 1;Chilopoda;Lithobius;1
WWF;2018;Transect arthropode Session 1;Chilopoda;Lithobius;1
SIBUET;2018;Transect arthropode Session 1;Chilopoda;Lithobius;1
ECOBIO_BOIS;2018;Plaques;Chilopoda;Lithobius;1
FONTA;2018;Transect arthropode Session 2;Chilopoda;Lithobius;1
ROROL;2018;Plaques;Chilopoda;Lithobius;1
CARON;2018;Transect arthropode Session 2;Chilopoda;Lithobius;1
AMROU;2018;Transect arthropode Session 2;Chilopoda;Lithobius;1
MECHO;2018;Transect arthropode Session 2;Chilopoda;Lithobius;1
CHAVIN;2017;Transect arthropode Session 1;Heteroptera;Liorhyssus hyalinus;1
CD93;2019;Transect arthropodes P1;Hétéroptères;Liorhyssus hyalinatus;1
ECOBIO_BOIS;2017;Transect arthropode Session 1;Heteroptera;Leptopterna dolabrata;1
ECOBIO_PRAIRIE;2019;Transect arthropodes P1;Hétéroptères;Leptopterna dolabrata;1
ECOBIO_PRAIRIE;2018;Transect arthropode Session 1;Heteroptera;Leptopterna;1
GOOPL;2017;Transect arthropode Session 1;Orthoptera;Leptophyes punctatissima;1
MOZIN_SANS_GESTION;2017;Transect arthropode Session 1;Hymenoptera;Leptochilus regulus;1
FRANK;2017;Transect arthropode Session 1;Hymenoptera;Leptochilus regulus;1
CHAVIN;2017;Transect arthropode Session 1;Hymenoptera;Leptochilus regulus;1
FRANK;2018;Transect arthropode Session 1;Hymenoptera;Leptochilus regulus;1
MOZIN_SANS_GESTION;2019;Transect arthropodes P2;Hyménoptères;Leptochilus regulus;1
OLSER;2019;Transect arthropodes P2;Hyménoptères;Leptochilus regulus;1
PERIS;2017;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
AMROU;2017;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
RUWAT;2017;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
WWF;2017;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
GTMBA;2017;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
ROROL;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
CIROB;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
MECHO;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
BOUHOP;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
BOUHOP;2017;Plaques;Hymenoptera;Lasius niger;1
ECOBIO_BOIS;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
GOOPL;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
CIMOD;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
GTMBA;2017;Transect arthropode Session 2;Hymenoptera;Lasius niger;1
ALBAR;2018;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
BOUTOU;2018;Transect arthropode Session 1;Hymenoptera;Lasius niger;1
